Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,27,1741,116,2015-11-01,00:16:54.183000,299,2015-11-01,00:43:03
M,36,1942,64,2015-11-01,00:17:22.153000,7,2015-11-01,00:27:24
M,43,5759,137,2015-11-01,00:17:24.633000,83,2015-11-01,00:29:03
M,31,3215,71,2015-11-01,00:17:34.587000,6,2015-11-01,00:29:53
F,24,5925,185,2015-11-01,00:18:55.643000,80,2015-11-01,01:01:09
M,31,2782,146,2015-11-01,00:19:28.623000,147,2015-11-01,00:24:43
M,52,4359,154,2015-11-01,00:19:37.357000,155,2015-11-01,00:24:47
F,64,4259,41,2015-11-01,00:20:27.417000,260,2015-11-01,00:24:39.390000
M,47,0226,146,2015-11-01,00:20:33.690000,179,2015-11-01,01:06:12
M,30,4224,27,2015-11-01,00:20:50.863000,63,2015-11-01,00:49:43.590000
M,26,3270,30,2015-11-01,00:21:07.510000,18,2015-11-01,00:26:52.800000
M,30,6296,15,2015-11-01,00:21:07.573000,228,2015-11-01,01:02:52
F,25,4065,27,2015-11-01,00:21:09.210000,63,2015-11-01,00:50:08.443000
F,27,4842,30,2015-11-01,00:21:22.003000,25,2015-11-01,00:34:34
F,36,4492,41,2015-11-01,00:21:25.607000,138,2015-11-01,00:37:23
M,38,5916,63,2015-11-01,00:21:28.897000,182,2015-11-01,00:29:49
M,24,5056,15,2015-11-01,00:21:31.580000,228,2015-11-01,01:03:18
M,62,2123,262,2015-11-01,00:21:31.893000,77,2015-11-01,01:44:20
F,58,5096,41,2015-11-01,00:21:38.210000,138,2015-11-01,00:37:29
M,27,5865,37,2015-11-01,00:21:50.380000,178,2015-11-01,00:32:05
M,38,3750,66,2015-11-01,00:22:11.003000,146,2015-11-01,00:29:24
M,34,3863,211,2015-11-01,00:23:09.130000,207,2015-11-01,00:28:00.763000
F,26,6549,211,2015-11-01,00:23:21.627000,248,2015-11-01,00:32:54
M,56,4407,80,2015-11-01,00:24:20.377000,75,2015-11-01,00:31:13.363000
M,39,2290,135,2015-11-01,00:24:25.930000,23,2015-11-01,00:41:46.710000
